archivo_actual,nuevo_archivo,curso,etiqueta,tipo
assets/certificados/automatizacion/CSA-1.jpg,assets/certificados/originales/automatizacion/automatizacion-industrial-mediante-plc-certificado.jpg,Automatización industrial mediante PLC,automatizacion,certificado
assets/certificados/automatizacion/CSA-2.jpg,assets/certificados/originales/automatizacion/automatizacion-industrial-mediante-plc-dc3.jpg,Automatización industrial mediante PLC,automatizacion,dc3
assets/certificados/automatizacion/CSA-3.jpg,assets/certificados/originales/automatizacion/automatizacion-industrial-mediante-plc-dc3-reverso.jpg,Automatización industrial mediante PLC,automatizacion,dc3-reverso
assets/certificados/automatizacion/CSA-4.jpg,assets/certificados/originales/automatizacion/controladores-logicos-programables-constancia.jpg,Controladores lógicos programables,automatizacion,constancia
assets/certificados/electricidad/CS-1.jpg,assets/certificados/originales/electricidad/instalaciones-electricas-segun-nom-001-sede-constancia-20h.jpg,Instalaciones eléctricas según NOM-001-SEDE,electricidad,constancia-20h
assets/certificados/electricidad/CS-2.jpg,assets/certificados/originales/electricidad/instalaciones-electricas-segun-nom-001-sede-certificado-24h.jpg,Instalaciones eléctricas según NOM-001-SEDE,electricidad,certificado-24h
assets/certificados/electricidad/CS-3.jpg,assets/certificados/originales/electricidad/instalaciones-electricas-segun-nom-001-sede-dc3.jpg,Instalaciones eléctricas según NOM-001-SEDE,electricidad,dc3
assets/certificados/electricidad/CS-4.jpg,assets/certificados/originales/electricidad/instalaciones-electricas-segun-nom-001-sede-dc3-reverso.jpg,Instalaciones eléctricas según NOM-001-SEDE,electricidad,dc3-reverso
assets/certificados/electricidad/ITE-1.jpg,assets/certificados/originales/electricidad/instalaciones-electricas-segun-nom-001-sede-dc3-adicional.jpg,Instalaciones eléctricas según NOM-001-SEDE,electricidad,dc3-adicional
assets/certificados/electricidad/ITE-2.jpg,assets/certificados/originales/electricidad/instalaciones-electricas-en-baja-tension-reconocimiento.jpg,Instalaciones eléctricas en baja tensión,electricidad,reconocimiento
assets/certificados/industriales/DC-3 MARTINEZ WILSON ASHLEY ARTURO-page-00001.jpg,assets/certificados/originales/electricidad/fundamentos-de-metrologia-dc3.jpg,Fundamentos de metrología,electricidad,dc3
assets/certificados/industriales/DC-3 MARTINEZ WILSON ASHLEY ARTURO-page-00002.jpg,assets/certificados/originales/electricidad/fundamentos-de-metrologia-dc3-reverso.jpg,Fundamentos de metrología,electricidad,dc3-reverso
assets/certificados/normas/ATR-1.jpg,assets/certificados/originales/gestion/auditor-lider-interno-en-sistemas-integrados-certificado.jpg,Auditor líder interno en sistemas integrados,gestion,certificado
assets/certificados/normas/MRE-1.jpg,assets/certificados/originales/gestion/introduccion-a-los-sistemas-de-gestion-integral-diploma.jpg,Introducción a los sistemas de gestión integral,gestion,diploma
